area,lat,lon,legal,front_width,access_road,floors,bedrooms,bathrooms,interior,is_corner,road_class,price
40.0,21.0535575201677,105.809241825365,Sổ hồng/Sổ đỏ,4.0,2.5,5,3,4,Đầy đủ,0,0,13.2
46.0,21.0236392882228,105.891460959006,Sổ hồng/Sổ đỏ,4.0,2.5,6,4,5,Đầy đủ,0,0,11.5
36.0,21.0359706965805,105.852739192709,Sổ hồng/Sổ đỏ,4.0,3.5,5,3,4,Đầy đủ,1,1,16.4
150.0,21.0303913797772,105.836929106546,Sổ hồng/Sổ đỏ,4.6,30.0,9,6,8,Đầy đủ,1,2,83.0
74.0,21.0301879659793,105.831716691301,Sổ hồng/Sổ đỏ,4.5,2.5,4,4,4,Thỏa thuận,0,0,19.0
45.0,21.0164941013611,105.822691920751,Giấy tờ khác,4.5,2.5,5,3,3,Đầy đủ,0,0,16.0
60.0,21.0351646934808,105.823318283743,Sổ hồng/Sổ đỏ,5.0,2.5,7,12,12,Đầy đủ,0,0,27.0
33.0,20.987066039711,105.852129952253,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,4,Đầy đủ,0,0,7.599
45.0,21.0098536682493,105.804618955442,Sổ hồng/Sổ đỏ,4.5,6.0,7,5,4,Đầy đủ,1,1,18.2
21.0,21.0137094434212,105.848716321565,Giấy tờ khác,3.2,2.5,5,4,4,Thỏa thuận,0,0,3.3
123.0,21.0365607124331,105.810232363711,Sổ hồng/Sổ đỏ,10.0,2.5,6,4,4,Cơ bản,0,0,30.5
35.0,21.0468229482291,105.871836713622,Sổ hồng/Sổ đỏ,4.2,2.5,5,3,4,Đầy đủ,0,0,9.5
100.0,21.0449578774123,105.762715273834,Sổ hồng/Sổ đỏ,5.0,12.0,8,10,10,Đầy đủ,0,2,35.0
45.0,21.0721734154872,105.816973500969,Sổ hồng/Sổ đỏ,5.0,4.0,5,3,4,Đầy đủ,0,1,18.0
50.0,21.0183751603422,105.855089865237,Sổ hồng/Sổ đỏ,4.5,3.0,4,4,3,Cơ bản,0,0,13.68
40.0,20.9948944811077,105.856721036283,Sổ hồng/Sổ đỏ,5.0,5.0,5,3,4,Đầy đủ,1,1,7.9
48.0,21.0521195090881,105.709260625568,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,4,Đầy đủ,0,0,7.8
42.0,20.9670221446703,105.764459117685,Sổ hồng/Sổ đỏ,2.0,2.5,6,4,3,Đầy đủ,0,0,9.0
74.0,21.0905360299425,105.811660763616,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,4,Nhà trống,0,0,24.0
39.0,21.0402191165913,105.898071098999,Sổ hồng/Sổ đỏ,3.5,4.0,5,3,4,Cơ bản,0,1,9.8
62.0,21.0448201357834,105.876147559476,Sổ hồng/Sổ đỏ,5.0,5.5,6,6,5,Đầy đủ,0,1,14.5
36.0,21.0250967905914,105.907866860342,Sổ hồng/Sổ đỏ,4.0,5.0,4,4,3,Đầy đủ,0,1,7.0
40.0,21.0218958861155,105.833919683695,Sổ hồng/Sổ đỏ,4.0,2.0,5,3,4,Cơ bản,1,0,8.2
56.0,21.0152212105939,105.824459907803,Sổ hồng/Sổ đỏ,5.05,2.5,6,5,4,Đầy đủ,0,0,19.5
40.0,21.0003409468766,105.852829174694,Sổ hồng/Sổ đỏ,4.0,3.0,4,4,4,Đầy đủ,0,0,9.7
60.0,21.0112982160652,105.816942917645,Sổ hồng/Sổ đỏ,5.0,2.5,5,4,4,Đầy đủ,0,0,19.0
50.0,21.00666183683645,105.80056042845612,Sổ hồng/Sổ đỏ,4.5,4.0,6,8,8,Đầy đủ,0,1,16.5
